material_type,material_cost_per_kg,quantity,machine_hours,machine_rate_per_hr,labor_hours,labor_rate_per_hr,energy_consumption_kWh,energy_rate_per_kWh,overhead_cost,defect_rate,inventory_time_days,inventory_cost_per_day,total_cost
Copper,4.34,496.12,30.58,59.6,16.68,26.64,447.82,0.16,563.09,4.58,76,11.81,6051
Brass,5.52,426.46,15.12,49.44,14.33,32.35,380.83,0.13,567.66,11.17,26,15.05,4836.58
Plastic,7.66,108.21,7.26,85.53,2.56,29.61,172.68,0.24,712.89,0.71,72,15.89,3429.94
Brass,5.7,465.64,32.76,24.46,16.86,34.21,374.78,0.26,193.93,3.29,70,6.73,4882.03
Brass,6.29,62.6,37.06,12.25,13.58,6.97,84.47,0.31,267.18,10.59,47,10.74,1782.24
Aluminum,8.56,409.64,16.12,50.41,14.09,31.16,73.86,0.15,814.52,11.74,73,12.8,6929.84
Plastic,5.99,193.41,32.42,31.37,7.58,34.78,179.36,0.28,948.23,6.83,119,16.57,5488.58
Plastic,22.63,439.6,20.06,14.47,17.65,15.01,405.77,0.22,153.21,10.47,117,15.47,13597.38
Plastic,3.85,434.69,35.8,75.21,14.64,27.42,130.71,0.31,507.7,5.82,8,19.77,5571.28
Brass,14.06,403.93,10.36,20.04,2.7,16,40.99,0.21,229.89,2.4,85,1.15,6402.62
Copper,11.44,396.07,44.57,64.75,8.45,38.53,74.54,0.21,78.87,5.97,22,9.31,8312.37
Plastic,24.59,155.82,14.73,35.29,17.78,6.17,430.79,0.22,338.99,8.7,70,5.86,5638.45
Titanium,4.58,45.06,18.71,25.61,1.42,25.29,320.55,0.27,160.81,14.22,111,3.28,1362.23
Brass,11.15,204.48,3.38,44.18,19.25,10.83,134.07,0.34,715.73,1.03,72,18.32,4741.6
Aluminum,24.3,90.89,6.02,82.13,13.74,29.93,282.09,0.07,543.05,7.61,26,19.96,4364.12
Copper,21.91,349,26.04,45.29,12.81,11.16,268.51,0.07,160.96,4.93,87,4.43,9911.04
Titanium,20.79,176.32,13.75,77.57,5.78,13.24,331.16,0.33,29.06,7.62,92,1.73,5385.64
Titanium,7.93,487.93,41.86,21.29,5.35,22.3,124.26,0.21,811.99,0.36,80,6.23,6230.2
Aluminum,5.93,322.28,1.23,79.55,18.87,37.02,433.56,0.23,192.67,4.7,83,16.86,4489.13
Copper,17.38,412.13,19.27,31.32,6.32,12.41,161.59,0.19,614.09,12.3,70,6.58,9831.21
Brass,23.38,70.6,17.2,70.97,15.62,10.05,350.12,0.08,350.18,8.31,42,2.08,3631.01
Steel,14.81,431.7,1.46,60.92,8.17,31.56,17.9,0.28,593.78,6.76,103,2,7977.26
Copper,15.15,461.76,6.66,93.62,3.22,22.52,192.6,0.27,329.34,4.28,6,9.12,8427.16
Aluminum,8.44,246.1,20.98,44.86,0.71,36.91,182.34,0.14,105.2,4.47,91,18.7,4969.73
Titanium,19.7,305.1,24.9,15.95,11.11,10.13,276.31,0.14,238.49,5.75,82,6.43,7670.2
Brass,6.3,383.58,20.51,11.72,19.53,27.61,45.64,0.3,204.3,12.53,62,9.12,4282.38
Copper,9.44,91.55,26.78,84.42,7.7,13.15,397.16,0.07,439.46,14.51,83,2.94,4062.94
Steel,11.79,253.77,29.96,57.23,7.47,10.49,116.71,0.31,665.12,6.58,43,10.38,6129.43
Steel,13.68,202.34,0.99,79.77,7.21,28.92,341.75,0.13,278.53,5.9,38,14.23,4082.51
Plastic,7.58,77.46,23.47,31.1,10.65,25.78,403.57,0.23,31.83,12.7,39,6.15,2030.69
Plastic,4.64,186.93,48.19,41.06,9.09,31.42,285.32,0.33,528.56,6.4,6,6.64,3849.71
Aluminum,16.04,38.75,26.19,12.71,17.66,15.83,373.03,0.25,613.64,8.28,69,17,3165.34
Copper,8.64,17.78,34.04,96.53,10.36,20.68,334.31,0.17,963.61,3.46,24,1.2,4708.3
Copper,15.37,71.91,15.94,70.11,10.4,19.19,184.21,0.26,597.68,11.15,104,13.09,4552.56
Titanium,5.55,481.74,38.81,93.99,3.2,39.44,406.34,0.15,481.75,7.98,58,8.48,7695.52
Titanium,13.07,277.02,38.76,33.89,19.66,15.23,154.4,0.13,581.93,12.14,12,6.67,6355.24
Titanium,14.25,483.08,26.3,65.03,5.37,15.32,289.89,0.35,929.34,11.71,102,13.49,11889.33
